,Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
0,Fashion MNIST,Baseline,1,None,0.874166667,0.872073787,0.013963154,0.879149925,0.989626547,0.928929236,10.72191715,0.379208803
1,Fashion MNIST,Noisy Student,1,"unl_factor: 0.2, threshold: 0.8, num_of_students: 2",0.887833333,0.886060944,0.012446475,0.887255852,0.989626547,0.928929236,101.5916245,1.35114193
2,Fashion MNIST,Improved Noisy Student,1,"unl_factor: 0.2, threshold: 0.8, num_of_students: 2, ensemble_size: 3",0.882,0.879774387,0.013097043,0.882568658,0.989626547,0.928929236,183.739418,2.927907705
3,Fashion MNIST,Baseline,2,None,0.8735,0.874772478,0.014072377,0.880206556,0.989722694,0.930914766,10.72759295,0.379829884
4,Fashion MNIST,Noisy Student,2,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3",0.8885,0.890508606,0.012388439,0.890635635,0.989722694,0.930914766,147.607676,0.913565397
5,Fashion MNIST,Improved Noisy Student,2,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3, ensemble_size: 3",0.8825,0.88414142,0.013062723,0.884550864,0.989722694,0.930914766,353.5956414,2.922412634
6,Fashion MNIST,Baseline,3,None,0.866166667,0.866364745,0.014866462,0.870267375,0.98847466,0.922507094,9.359489918,0.711018562
7,Fashion MNIST,Noisy Student,3,"unl_factor: 0.2, threshold: 0.8, num_of_students: 2",0.879333333,0.879313342,0.013406876,0.878569449,0.98847466,0.922507094,147.3485086,1.35187006
8,Fashion MNIST,Improved Noisy Student,3,"unl_factor: 0.2, threshold: 0.8, num_of_students: 2, ensemble_size: 3",0.873333333,0.873431001,0.014073335,0.875024402,0.98847466,0.922507094,186.9156625,3.517147779
9,Fashion MNIST,Baseline,4,None,0.877166667,0.879116812,0.013659608,0.878826068,0.989610504,0.930428472,10.31151533,0.38237524
10,Fashion MNIST,Noisy Student,4,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2",0.8815,0.882888629,0.013186231,0.882829264,0.989610504,0.930428472,95.88084054,1.352749586
11,Fashion MNIST,Improved Noisy Student,4,"unl_factor: 0.2, threshold: 0.7, num_of_students: 2, ensemble_size: 3",0.886166667,0.887645626,0.012662323,0.886980108,0.989610504,0.930428472,214.4153495,2.924526215
12,Fashion MNIST,Baseline,5,None,0.881333333,0.881054272,0.013186187,0.887978526,0.99052244,0.936800759,10.23211288,0.384362936
13,Fashion MNIST,Noisy Student,5,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3",0.884833333,0.884919624,0.012788526,0.884787429,0.99052244,0.936800759,103.1195161,1.369033098
14,Fashion MNIST,Improved Noisy Student,5,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3, ensemble_size: 3",0.886,0.885866919,0.01266494,0.888663237,0.99052244,0.936800759,376.1314237,3.074178219
15,Fashion MNIST,Baseline,6,None,0.872833333,0.870724012,0.014117658,0.881144663,0.989716893,0.931563032,10.77501178,0.386122942
16,Fashion MNIST,Noisy Student,6,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3",0.884833333,0.883335715,0.012780431,0.885091461,0.989716893,0.931563032,109.0951109,1.356793165
17,Fashion MNIST,Improved Noisy Student,6,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3, ensemble_size: 3",0.884833333,0.882747312,0.012789066,0.887087069,0.989716893,0.931563032,414.1059825,3.067033529
18,Fashion MNIST,Baseline,7,None,0.872833333,0.872582857,0.014118327,0.877693397,0.989745181,0.932443873,10.52698302,0.393326759
19,Fashion MNIST,Noisy Student,7,"unl_factor: 0.2, threshold: 0.6, num_of_students: 2",0.8865,0.886650063,0.012602997,0.886835249,0.989745181,0.932443873,107.7901878,1.355697393
20,Fashion MNIST,Improved Noisy Student,7,"unl_factor: 0.2, threshold: 0.6, num_of_students: 2, ensemble_size: 3",0.885166667,0.884708573,0.01275638,0.885491158,0.989745181,0.932443873,219.1119149,3.616250515
21,Fashion MNIST,Baseline,8,None,0.865833333,0.866607832,0.014909595,0.880362016,0.989622289,0.929544101,20.99633312,0.392051458
22,Fashion MNIST,Noisy Student,8,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3",0.883,0.88353433,0.013005168,0.884024311,0.989622289,0.929544101,102.6921859,1.762696028
23,Fashion MNIST,Improved Noisy Student,8,"unl_factor: 0.2, threshold: 0.8, num_of_students: 3, ensemble_size: 2",0.883333333,0.883866804,0.012969107,0.884341438,0.989622289,0.929544101,351.1487088,3.606216192
24,Fashion MNIST,Baseline,9,None,0.879833333,0.879632025,0.013347642,0.882697508,0.990054121,0.931513086,10.80890822,0.383871555
25,Fashion MNIST,Noisy Student,9,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3",0.876666667,0.876524354,0.013699484,0.878105096,0.990054121,0.931513086,147.6673722,1.351542711
26,Fashion MNIST,Improved Noisy Student,9,"unl_factor: 0.2, threshold: 0.6, num_of_students: 3, ensemble_size: 3",0.885166667,0.884994977,0.012758125,0.885878431,0.990054121,0.931513086,443.7551608,3.631102085
27,Fashion MNIST,Baseline,10,None,0.877,0.876622027,0.013672411,0.881772722,0.990035138,0.931045591,21.00967813,0.385746002
